id;referencia;nome_produto;marca;categoria;especificacao;caracteristicas;preco_eur;preco_formatado;pagina_catalogo
142;46809;OMNICHROMA FLOW BULK;Tokuyama;RESTAURACIÓN;Flow;1 jeringa de 1,8 ml (3 g) + 10 puntas dispensadoras;68.68;68,68 €;46
143;28831;ESTELITE SIGMA QUICK;Tokuyama;RESTAURACIÓN;A4;Reposición jeringa 3,8 gr.;69.38;69,38 €;48
144;28832;ESTELITE SIGMA QUICK;Tokuyama;RESTAURACIÓN;A5;Reposición jeringa 3,8 gr.;69.38;69,38 €;48
145;28833;ESTELITE SIGMA QUICK;Tokuyama;RESTAURACIÓN;B2;Reposición jeringa 3,8 gr.;69.38;69,38 €;48
146;28834;ESTELITE SIGMA QUICK;Tokuyama;RESTAURACIÓN;B3;Reposición jeringa 3,8 gr.;69.38;69,38 €;48
147;28835;ESTELITE SIGMA QUICK;Tokuyama;RESTAURACIÓN;B4;Reposición jeringa 3,8 gr.;69.38;69,38 €;48
148;28836;ESTELITE SIGMA QUICK;Tokuyama;RESTAURACIÓN;C1;Reposición jeringa 3,8 gr.;69.38;69,38 €;48
149;28837;ESTELITE SIGMA QUICK;Tokuyama;RESTAURACIÓN;C2;Reposición jeringa 3,8 gr.;69.38;69,38 €;48
150;28838;ESTELITE SIGMA QUICK;Tokuyama;RESTAURACIÓN;C3;Reposición jeringa 3,8 gr.;69.38;69,38 €;48
151;28839;ESTELITE SIGMA QUICK;Tokuyama;RESTAURACIÓN;OA1;Reposición jeringa 3,8 gr.;69.38;69,38 €;48
152;28840;ESTELITE SIGMA QUICK;Tokuyama;RESTAURACIÓN;OPA2;Reposición jeringa 3,8 gr.;69.38;69,38 €;48
153;28841;ESTELITE SIGMA QUICK;Tokuyama;RESTAURACIÓN;CE (Inc.);Reposición jeringa 3,8 gr.;69.38;69,38 €;48
154;28842;ESTELITE SIGMA QUICK;Tokuyama;RESTAURACIÓN;WE;Reposición jeringa 3,8 gr.;296.83;296,83 €;48
155;28844;ESTELITE SIGMA QUICK KIT;Tokuyama;RESTAURACIÓN;Intro Kit 6 jeringas;6 jeringas x 3,8 gr. (Colores: 7. Composite radiopaco. + 1 bote Bond Force II x 1 ml. + 50 microaplicadores + 1 guía de colores.;296.83;296,83 €;48
156;28903;ESTELITE SIGMA QUICK;Tokuyama;RESTAURACIÓN;A1;Reposición jeringa 3,8 gr.;69.38;69,38 €;48
157;28904;ESTELITE SIGMA QUICK;Tokuyama;RESTAURACIÓN;A2;Reposición jeringa 3,8 gr.;69.38;69,38 €;48
158;28905;ESTELITE SIGMA QUICK;Tokuyama;RESTAURACIÓN;A3;Reposición jeringa 3,8 gr.;69.38;69,38 €;48
159;28906;ESTELITE SIGMA QUICK;Tokuyama;RESTAURACIÓN;A3,5;Reposición jeringa 3,8 gr.;69.38;69,38 €;48
160;28907;ESTELITE SIGMA QUICK;Tokuyama;RESTAURACIÓN;B1;Reposición jeringa 3,8 gr.;69.38;69,38 €;48
161;28908;ESTELITE SIGMA QUICK;Tokuyama;RESTAURACIÓN;OA2;Reposición jeringa 3,8 gr.;69.38;69,38 €;48
162;28909;ESTELITE SIGMA QUICK;Tokuyama;RESTAURACIÓN;OA3;Reposición jeringa 3,8 gr.;69.38;69,38 €;48
